Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Female
2009,0,Total,2,Female,0,Total,3,Bronx,740304
2009,0,Total,2,Female,0,Total,4,Kings,1351566
2009,0,Total,2,Female,0,Total,5,New York,853197
2009,0,Total,2,Female,0,Total,6,Queens,1183931
2009,0,Total,2,Female,0,Total,7,Richmond,251640
2009,0,Total,2,Female,0,Total,8,Rest of State,5661652
2009,0,Total,2,Female,0,Total,9,Albany,154588
2009,0,Total,2,Female,0,Total,10,Allegany,24332
2009,0,Total,2,Female,0,Total,11,Broome,100257
2009,0,Total,2,Female,0,Total,12,Cattaraugus,40478
2009,0,Total,2,Female,0,Total,13,Cayuga,39131
2009,0,Total,2,Female,0,Total,14,Chautauqua,68046
2009,0,Total,2,Female,0,Total,15,Chemung,44371
2009,0,Total,2,Female,0,Total,16,Chenango,25500
2009,0,Total,2,Female,0,Total,17,Clinton,39888
2009,0,Total,2,Female,0,Total,18,Columbia,30760
2009,0,Total,2,Female,0,Total,19,Cortland,24783
2009,0,Total,2,Female,0,Total,20,Delaware,22966
2009,0,Total,2,Female,0,Total,21,Dutchess,145897
2009,0,Total,2,Female,0,Total,22,Erie,470995
2009,0,Total,2,Female,0,Total,23,Essex,18076
2009,0,Total,2,Female,0,Total,24,Franklin,22669
2009,0,Total,2,Female,0,Total,25,Fulton,27787
2009,0,Total,2,Female,0,Total,26,Genesee,29168
2009,0,Total,2,Female,0,Total,27,Greene,23580
2009,0,Total,2,Female,0,Total,28,Hamilton,2481
2009,0,Total,2,Female,0,Total,29,Herkimer,31794
2009,0,Total,2,Female,0,Total,30,Jefferson,58146
2009,0,Total,2,Female,0,Total,31,Lewis,13073
2009,0,Total,2,Female,0,Total,32,Livingston,31386
2009,0,Total,2,Female,0,Total,33,Madison,35386
2009,0,Total,2,Female,0,Total,34,Monroe,377450
2009,0,Total,2,Female,0,Total,35,Montgomery,25045
2009,0,Total,2,Female,0,Total,36,Nassau,695601
2009,0,Total,2,Female,0,Total,37,Niagara,110369
2009,0,Total,2,Female,0,Total,38,Oneida,115520
2009,0,Total,2,Female,0,Total,39,Onondaga,235490
2009,0,Total,2,Female,0,Total,40,Ontario,53620
2009,0,Total,2,Female,0,Total,41,Orange,189839
2009,0,Total,2,Female,0,Total,42,Orleans,21073
2009,0,Total,2,Female,0,Total,43,Oswego,61228
2009,0,Total,2,Female,0,Total,44,Otsego,31927
2009,0,Total,2,Female,0,Total,45,Putnam,49122
2009,0,Total,2,Female,0,Total,46,Rensselaer,78713
2009,0,Total,2,Female,0,Total,47,Rockland,151554
2009,0,Total,2,Female,0,Total,48,St Lawrence,53935
2009,0,Total,2,Female,0,Total,49,Saratoga,111171
2009,0,Total,2,Female,0,Total,50,Schenectady,77938
2009,0,Total,2,Female,0,Total,51,Schoharie,15795
2009,0,Total,2,Female,0,Total,52,Schuyler,9275
2009,0,Total,2,Female,0,Total,53,Seneca,16397
2009,0,Total,2,Female,0,Total,54,Steuben,48962
2009,0,Total,2,Female,0,Total,55,Suffolk,768239
2009,0,Total,2,Female,0,Total,56,Sullivan,37232
2009,0,Total,2,Female,0,Total,57,Tioga,25214
2009,0,Total,2,Female,0,Total,58,Tompkins,50959
2009,0,Total,2,Female,0,Total,59,Ulster,90951
2009,0,Total,2,Female,0,Total,60,Warren,33714
2009,0,Total,2,Female,0,Total,61,Washington,30330
2009,0,Total,2,Female,0,Total,62,Wayne,45948
2009,0,Total,2,Female,0,Total,63,Westchester,492128
2009,0,Total,2,Female,0,Total,64,Wyoming,18847
2009,0,Total,2,Female,0,Total,65,Yates,12528
2010,0,Total,2,Female,0,Total,1,New York State,10000955
2010,0,Total,2,Female,0,Total,2,New York City,4292589
2010,0,Total,2,Female,0,Total,3,Bronx,735475
2010,0,Total,2,Female,0,Total,4,Kings,1323322
2010,0,Total,2,Female,0,Total,5,New York,841432
2010,0,Total,2,Female,0,Total,6,Queens,1150919
2010,0,Total,2,Female,0,Total,7,Richmond,241441
2010,0,Total,2,Female,0,Total,8,Rest of State,5708366
2010,0,Total,2,Female,0,Total,9,Albany,157128
2010,0,Total,2,Female,0,Total,10,Allegany,24250
2010,0,Total,2,Female,0,Total,11,Broome,102227
2010,0,Total,2,Female,0,Total,12,Cattaraugus,40588
2010,0,Total,2,Female,0,Total,13,Cayuga,39193
